Timestamp,IP,Requests Send,Requests Recieved,Responses Send,Responses Recieved
2021-12-02 14:25:07.323397,127.0.0.13,2,2,0,2
2021-12-02 14:25:37.366596,127.0.0.13,2,2,0,2
2021-12-02 14:26:07.415848,127.0.0.13,2,2,0,2
2021-12-02 14:26:37.429864,127.0.0.13,2,2,0,2
2021-12-02 14:27:07.464132,127.0.0.13,2,2,0,2
2021-12-02 14:27:37.503730,127.0.0.13,2,2,0,2
2021-12-02 14:28:07.563339,127.0.0.13,2,2,0,2
2021-12-02 14:28:37.623184,127.0.0.13,2,2,0,2
2021-12-02 14:29:07.672339,127.0.0.13,2,2,0,2
2021-12-02 14:29:37.705349,127.0.0.13,2,2,0,2
2021-12-02 14:30:07.744467,127.0.0.13,2,2,0,2
2021-12-02 14:30:37.795739,127.0.0.13,2,2,0,2
2021-12-02 14:31:07.843804,127.0.0.13,2,2,0,2
2021-12-02 14:31:37.914531,127.0.0.13,2,2,0,2
2021-12-02 14:32:07.955846,127.0.0.13,2,2,0,2
2021-12-02 14:32:38.004231,127.0.0.13,2,2,0,2
2021-12-02 14:33:08.048640,127.0.0.13,2,2,0,2
2021-12-02 14:33:38.074450,127.0.0.13,2,2,0,2
2021-12-02 14:34:08.122363,127.0.0.13,2,2,0,2
2021-12-02 14:34:38.188604,127.0.0.13,2,2,0,2
2021-12-02 14:35:08.227549,127.0.0.13,2,2,0,2
2021-12-02 14:35:38.256039,127.0.0.13,2,2,0,2
2021-12-02 14:36:08.300867,127.0.0.13,2,2,0,2
2021-12-02 14:36:38.368428,127.0.0.13,2,2,0,2
2021-12-02 14:37:08.435498,127.0.0.13,2,2,0,2
2021-12-02 14:37:38.485693,127.0.0.13,2,2,0,2
2021-12-02 14:38:08.544346,127.0.0.13,2,2,0,2
2021-12-02 14:38:38.625437,127.0.0.13,2,2,0,2
2021-12-02 14:39:08.666684,127.0.0.13,2,2,0,2
2021-12-02 14:39:38.711684,127.0.0.13,2,2,0,2
2021-12-02 14:40:08.760440,127.0.0.13,2,2,0,2
2021-12-02 14:40:38.786448,127.0.0.13,2,2,0,2
2021-12-02 14:41:08.864051,127.0.0.13,2,2,0,2
2021-12-02 14:41:38.900863,127.0.0.13,2,2,0,2
2021-12-02 14:42:08.938506,127.0.0.13,2,2,0,2
2021-12-02 14:42:39.004971,127.0.0.13,2,2,0,2
2021-12-02 14:43:09.069007,127.0.0.13,2,2,0,2
2021-12-02 14:43:39.116352,127.0.0.13,2,2,0,2
2021-12-02 14:44:09.178627,127.0.0.13,2,2,0,2
2021-12-02 14:44:39.224438,127.0.0.13,2,2,0,2
2021-12-02 14:45:09.270677,127.0.0.13,2,2,0,2
2021-12-02 14:45:39.315208,127.0.0.13,2,2,0,2
2021-12-02 14:46:09.359670,127.0.0.13,2,2,0,2
2021-12-02 14:46:39.400868,127.0.0.13,2,2,0,2
2021-12-02 14:47:09.462920,127.0.0.13,2,2,0,2
2021-12-02 14:47:39.520045,127.0.0.13,2,2,0,2
2021-12-02 14:48:09.559384,127.0.0.13,2,2,0,2
2021-12-02 14:48:39.610042,127.0.0.13,2,2,0,2
2021-12-02 14:49:09.669762,127.0.0.13,2,2,0,2
2021-12-02 14:49:39.710517,127.0.0.13,2,2,0,2
2021-12-02 14:50:09.746311,127.0.0.13,2,2,0,2
2021-12-02 14:50:39.791799,127.0.0.13,2,2,0,2
2021-12-02 14:51:09.845364,127.0.0.13,2,2,0,2
2021-12-02 14:51:39.916832,127.0.0.13,2,2,0,2
2021-12-02 14:52:09.958422,127.0.0.13,2,2,0,2
2021-12-02 14:52:39.993132,127.0.0.13,2,2,0,2
2021-12-02 14:53:10.029160,127.0.0.13,2,2,0,2
2021-12-02 14:53:40.071696,127.0.0.13,2,2,0,2
2021-12-02 14:54:10.130308,127.0.0.13,2,2,0,2
2021-12-02 14:54:40.173540,127.0.0.13,2,2,0,2
